"State","Date"
"Arizona","2020-05-08"
"California","2020-05-25"
"Colorado","2020-04-27"
"Florida","2020-05-04"
"Kentucky","2020-05-20"
"Louisiana","2020-05-15"
"Michigan","2020-06-01"
"Nevada","2020-05-09"
"New Mexico","2020-05-16"
"Puerto Rico","2020-05-26"
"Texas","2020-05-01"
"Alabama","2020-04-30"
"Arkansas","2020-05-06"
"Connecticut","2020-05-20"
"Delaware","2020-06-01"
"Idaho","2020-05-01"
"Indiana","2020-05-04"
"Maryland","2020-05-15"
"Mississippi","2020-04-27"
"New Jersey","2020-06-09"
"North Carolina","2020-05-08"
"Oregon","2020-05-15"
"Rhode Island","2020-05-09"
"South Carolina","2020-04-20"
"Washington","2020-05-26"
"District of Columbia","2020-05-29"
"Georgia","2020-04-24"
"Hawaii","2020-05-07"
"Illinois","2020-05-29"
"Maine","2020-05-01"
"Massachusetts","2020-05-18"
"New York","2020-05-29"
"Ohio","2020-05-12"
"Tennessee","2020-04-27"
"Vermont","2020-05-15"
"Alaska","2020-04-24"
"Iowa","2020-05-01"
"Kansas","2020-05-04"
"Minnesota","2020-05-18"
"Missouri","2020-05-04"
"Montana","2020-04-26"
"Nebraska","2020-05-04"
"New Hampshire","2020-05-11",
"North Dakota","2020-05-01",
"Pennsylvania","2020-05-15",
"South Dakota","2020-04-28",
"Utah","2020-05-01",
"Virginia","2020-05-15",
"West Virginia","2020-05-04",
"Wisconsin","2020-05-13",
"Wyoming","2020-05-01"


